Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|O95503|CBX6_HUMAN	O95503	CBX6_HUMAN	CBX6	412	Homo sapiens	Chromobox protein homolog 6	1:Experimental evidence at protein level	6.31	10.000	0.9990	3	2	2	3	2	2	27772902	19559450	27772902	8K(229.1629), 9K(229.1629), N-term(229.1692)			756.139.004	1.031.337.676	803.900.039	968.118.770	867.463.301	816.329.668	1.190.358.633	928.908.398	971.888.506	917.312.832	1.190.739.082
sp|O95544|NADK_HUMAN	O95544	NADK_HUMAN	NADK	446	Homo sapiens	NAD kinase	1:Experimental evidence at protein level	15.02	10.000	0.9990	5	5	5	9	9	9	89699596	89699596	89699596	11K(229.1629), 17K(229.1629), 2C(57.0214), N-term(229.1692)			4.033.692.354	3.275.539.014	4.858.874.365	3.582.465.527	4.576.811.543	3.421.726.104	4.148.576.318	4.009.545.234	4.408.473.125	5.794.437.451	6.846.401.719
sp|O95551|TYDP2_HUMAN	O95551	TYDP2_HUMAN	TDP2	362	Homo sapiens	Tyrosyl-DNA phosphodiesterase 2	1:Experimental evidence at protein level	20.17	10.000	0.9990	4	4	4	10	10	10	89326610	89326610	89326610	11K(229.1629), 17K(229.1629), 1K(229.1629), 23K(229.1629), 6C(57.0214), N-term(229.1692), N-term(42.0106)			2.320.045.493	1.375.626.147	2.181.208.047	1.515.912.300	2.766.146.699	2.043.996.611	2.044.279.155	1.956.035.898	1.786.013.965	2.771.745.605	3.052.831.016
sp|O95563|MPC2_HUMAN	O95563	MPC2_HUMAN	MPC2	127	Homo sapiens	Mitochondrial pyruvate carrier 2	1:Experimental evidence at protein level	30.71	10.000	0.9990	3	3	3	8	8	8	111774358	111774358	111774358	10K(229.1629), 17K(229.1629), 5C(57.0214), N-term(229.1692)			3.327.426.196	2.944.629.844	3.349.659.922	2.733.334.731	3.209.517.441	2.276.015.630	3.261.508.047	3.300.514.888	3.314.661.685	4.875.321.807	4.558.205.508
sp|O95568|MET18_HUMAN	O95568	MET18_HUMAN	METTL18	372	Homo sapiens	Histidine protein methyltransferase 1 homolog	1:Experimental evidence at protein level	9.41	10.000	0.9990	4	4	4	4	4	4	415483729	415483729	415483729	12K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			2.450.145.254	1.872.352.344	2.228.665.859	2.001.772.168	2.666.072.227	1.972.557.285	2.025.783.320	1.799.174.473	1.821.265.869	2.659.771.289	2.641.525.430
sp|O95571|ETHE1_HUMAN	O95571	ETHE1_HUMAN	ETHE1	254	Homo sapiens	Persulfide dioxygenase ETHE1, mitochondrial	1:Experimental evidence at protein level	61.42	10.000	0.9990	11	11	11	30	30	30	485134016	485134016	485134016	10K(229.1629), 11C(57.0214), 13K(229.1629), 19M(15.9949), 2C(57.0214), 2M(15.9949), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214), 9K(229.1629), N-term(229.1692)			14.807.316.052	21.187.659.854	22.193.870.259	22.515.172.783	17.714.485.645	13.184.428.613	23.908.862.969	20.234.572.031	27.349.449.250	23.056.793.853	30.978.554.189
sp|O95573|ACSL3_HUMAN	O95573	ACSL3_HUMAN	ACSL3	720	Homo sapiens	Fatty acid CoA ligase Acsl3	1:Experimental evidence at protein level	43.61	10.000	0.9990	24	22	22	50	44	44	263726536	192784780	263726536	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15C(57.0214), 16C(57.0214), 16K(229.1629), 17K(229.1629), 18K(229.1629), 21K(229.1629), 2K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			27.625.228.350	11.809.609.380	22.816.637.129	13.383.163.479	24.936.565.605	15.391.751.559	16.493.654.500	17.545.174.507	14.331.547.571	27.506.842.527	28.850.761.455
sp|O95602|RPA1_HUMAN	O95602	RPA1_HUMAN	POLR1A	1720	Homo sapiens	DNA-directed RNA polymerase I subunit RPA1	1:Experimental evidence at protein level	37.15	10.000	0.9990	54	53	54	109	107	109	324902480	324902480	324902480	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 14M(15.9949), 15K(229.1629), 17C(57.0214), 17K(229.1629), 19K(229.1629), 1K(229.1629), 22K(229.1629), 23K(229.1629), 24K(229.1629), 2C(57.0214), 31K(229.1629), 4C(57.0214), 6C(57.0214), 6K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			46.319.384.993	27.846.267.148	46.161.940.774	34.054.040.266	48.990.649.495	37.235.039.360	36.349.840.876	38.936.616.011	35.076.791.064	46.648.930.784	54.099.723.740
sp|O95613|PCNT_HUMAN	O95613	PCNT_HUMAN	PCNT	3336	Homo sapiens	Pericentrin	1:Experimental evidence at protein level	15.83	10.000	0.9990	46	45	46	69	68	69	1004659808	1004659808	1004659808	11K(229.1629), 14K(229.1629), 15K(229.1629), 16C(57.0214), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 20K(229.1629), 21K(229.1629), 2C(57.0214), 3C(57.0214), 5C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			18.818.395.323	14.472.180.399	19.660.516.777	16.129.455.137	21.216.264.514	15.595.424.624	17.547.175.750	17.926.443.025	17.817.731.941	21.864.648.308	26.694.389.216
sp|O95619|YETS4_HUMAN	O95619	YETS4_HUMAN	YEATS4	227	Homo sapiens	YEATS domain-containing protein 4	1:Experimental evidence at protein level	34.80	10.000	0.9990	7	7	7	10	10	10	125179960	125179960	125179960	12K(229.1629), 18K(229.1629), 1K(229.1629), 5C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			11.602.563.540	7.380.406.987	8.787.269.829	8.124.343.721	11.237.630.884	9.319.829.170	9.128.266.724	7.095.568.259	8.449.417.900	9.893.079.258	11.519.636.953
sp|O95620|DUS4L_HUMAN	O95620	DUS4L_HUMAN	DUS4L	317	Homo sapiens	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	1:Experimental evidence at protein level	9.15	10.000	0.9990	2	2	2	5	5	5	25513130	25513130	25513130	18K(229.1629), 8M(15.9949), N-term(229.1692)			192.905.120	214.940.664	269.598.374	223.437.090	294.883.545	228.918.193	259.706.072	287.541.948	310.910.142	296.683.401	414.524.766
sp|O95625|ZBT11_HUMAN	O95625	ZBT11_HUMAN	ZBTB11	1053	Homo sapiens	Zinc finger and BTB domain-containing protein 11	1:Experimental evidence at protein level	13.68	10.000	0.9990	11	11	11	21	21	21	101403716	101403716	101403716	18K(229.1629), 1K(229.1629), 23C(57.0214), 23K(229.1629), 29K(229.1629), 4C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			7.878.525.933	5.900.670.830	8.911.067.920	6.599.805.576	8.327.448.896	7.033.773.271	8.220.309.014	8.624.319.453	8.398.108.584	9.387.929.668	11.866.255.371
sp|O95628|CNOT4_HUMAN	O95628	CNOT4_HUMAN	CNOT4	575	Homo sapiens	CCR4-NOT transcription complex subunit 4	1:Experimental evidence at protein level	19.48	10.000	0.9990	9	9	9	13	13	13	114805888	114805888	114805888	11K(229.1629), 15K(229.1629), 1K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			5.974.799.561	5.391.841.748	6.733.909.199	5.411.407.383	6.586.731.719	5.676.258.457	6.270.531.748	7.099.486.138	5.465.706.104	6.354.832.354	9.529.087.832
sp|O95630|STABP_HUMAN	O95630	STABP_HUMAN	STAMBP	424	Homo sapiens	STAM-binding protein	1:Experimental evidence at protein level	41.75	10.000	0.9990	15	14	15	39	38	39	175419916	138207220	175419916	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 15K(229.1629), 19C(57.0214), 27K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			18.301.522.090	16.085.378.555	24.145.943.252	17.271.954.976	21.819.476.831	16.539.425.303	19.857.921.826	21.092.431.807	20.532.309.805	24.718.072.666	28.699.560.898
sp|O95639|CPSF4_HUMAN	O95639	CPSF4_HUMAN	CPSF4	269	Homo sapiens	Cleavage and polyadenylation specificity factor subunit 4	1:Experimental evidence at protein level	39.78	10.000	0.9990	9	8	9	32	31	32	316684736	316684736	316684736	10C(57.0214), 12K(229.1629), 13M(15.9949), 15K(229.1629), 1K(229.1629), 22K(229.1629), 2C(57.0214), 4C(57.0214), 5C(57.0214), 5M(15.9949), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			16.035.500.591	12.779.952.966	18.850.384.229	13.251.216.628	19.267.253.674	13.873.401.892	15.089.267.441	16.865.374.070	14.164.027.026	18.668.901.921	22.941.598.257
sp|O95644|NFAC1_HUMAN	O95644	NFAC1_HUMAN	NFATC1	943	Homo sapiens	Nuclear factor of activated T-cells, cytoplasmic 1	1:Experimental evidence at protein level	21.10	10.000	0.9990	17	14	17	25	21	25	182716400	130940636	182716400	10K(229.1629), 11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 15K(229.1629), 21K(229.1629), 5C(57.0214), 8C(57.0214), 8K(229.1629), N-term(229.1692)			14.120.968.794	13.032.954.453	23.008.519.219	12.131.306.113	14.748.332.461	16.631.287.041	13.116.876.060	19.605.523.599	21.077.682.593	16.891.875.820	18.789.257.471
sp|O95671|ASML_HUMAN	O95671	ASML_HUMAN	ASMTL	621	Homo sapiens	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	1:Experimental evidence at protein level	40.10	10.000	0.9990	19	18	19	40	38	40	408677688	408677688	408677688	10C(57.0214), 13C(57.0214), 15C(57.0214), 15K(229.1629), 16K(229.1629), 18K(229.1629), 1K(229.1629), 21K(229.1629), 2M(15.9949), 3M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			22.641.403.472	18.532.060.940	28.960.960.825	22.017.862.129	30.418.845.845	18.057.474.003	23.535.192.375	19.970.190.112	23.899.409.897	30.225.453.657	41.726.353.662
sp|O95684|CEP43_HUMAN	O95684	CEP43_HUMAN	CEP43	399	Homo sapiens	Centrosomal protein 43	1:Experimental evidence at protein level	35.09	10.000	0.9990	12	12	12	32	32	32	242352696	242352696	242352696	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 18K(229.1629), 22K(229.1629), 25K(229.1629), 27K(229.1629), 4C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			14.303.037.021	14.742.471.147	17.267.444.124	14.389.959.146	16.576.087.349	14.264.552.288	15.905.820.945	18.991.033.474	14.023.276.775	16.957.179.702	23.149.696.914
sp|O95685|PPR3D_HUMAN	O95685	PPR3D_HUMAN	PPP1R3D	299	Homo sapiens	Protein phosphatase 1 regulatory subunit 3D	1:Experimental evidence at protein level	27.42	10.000	0.9990	6	6	6	8	8	8	64197112	64197112	64197112	13C(57.0214), 16K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692)			2.364.221.650	2.648.565.400	3.301.858.677	3.221.638.848	3.140.604.648	2.130.271.602	3.435.473.154	2.804.438.418	3.416.330.977	3.466.663.789	3.933.877.051
sp|O95696|BRD1_HUMAN	O95696	BRD1_HUMAN	BRD1	1058	Homo sapiens	Bromodomain-containing protein 1	1:Experimental evidence at protein level	11.53	10.000	0.9990	12	11	12	18	17	18	79714118	79714118	79714118	10K(229.1629), 11C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 1C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			8.276.809.243	6.615.556.240	8.148.503.955	7.434.534.048	8.446.628.174	6.817.241.104	8.006.889.229	7.701.430.522	8.479.991.387	9.052.839.277	11.606.491.807
sp|O95707|RPP29_HUMAN	O95707	RPP29_HUMAN	POP4	220	Homo sapiens	Ribonuclease P protein subunit p29	1:Experimental evidence at protein level	21.36	10.000	0.9990	4	4	4	10	10	10	93836698	93836698	93836698	16K(229.1629), 1C(57.0214), 5K(229.1629), 7K(229.1629), N-term(229.1692)			5.988.490.990	5.591.115.820	9.378.133.555	6.759.255.688	8.364.866.533	5.421.769.949	7.093.505.227	7.999.778.684	7.264.473.667	9.562.451.707	10.238.273.306
sp|O95714|HERC2_HUMAN	O95714	HERC2_HUMAN	HERC2	4834	Homo sapiens	E3 ubiquitin-protein ligase HERC2	1:Experimental evidence at protein level	3.33	10.000	0.9990	13	9	13	17	11	17	61823154	33492456	61823154	10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 1K(229.1629), 4C(57.0214), 5C(57.0214), 9K(229.1629), N-term(229.1692)			3.245.510.923	2.407.623.330	4.061.238.049	2.825.393.313	3.479.750.356	3.016.600.161	3.246.419.724	3.648.238.386	2.892.647.205	4.116.700.720	5.577.456.724
sp|O95716|RAB3D_HUMAN	O95716	RAB3D_HUMAN	RAB3D	219	Homo sapiens	Ras-related protein Rab-3D	1:Experimental evidence at protein level	57.53	10.000	0.9990	13	8	11	36	19	26	1121995016	143748144	1121995016	11K(229.1629), 12K(229.1629), 15K(229.1629), 16K(229.1629), 19K(229.1629), 1C(57.0214), 23K(229.1629), N-term(229.1692), N-term(42.0106)			13.080.098.125	12.431.690.474	20.738.105.698	13.791.665.112	16.917.544.146	11.391.021.108	16.824.475.205	17.207.106.062	17.016.699.551	19.752.589.131	22.104.119.956
sp|O95721|SNP29_HUMAN	O95721	SNP29_HUMAN	SNAP29	258	Homo sapiens	Synaptosomal-associated protein 29	1:Experimental evidence at protein level	53.49	10.000	0.9990	11	11	11	35	35	35	508993468	508993468	508993468	10K(229.1629), 10M(15.9949), 11K(229.1629), 13K(229.1629), 2K(229.1629), 7K(229.1629), N-term(229.1692)			19.119.351.058	15.040.931.534	21.767.554.739	15.788.684.784	20.052.414.590	18.008.237.074	20.911.940.464	20.370.782.905	17.073.513.143	22.865.421.748	30.577.898.789
sp|O95747|OXSR1_HUMAN	O95747	OXSR1_HUMAN	OXSR1	527	Homo sapiens	Serine/threonine-protein kinase OSR1	1:Experimental evidence at protein level	46.87	10.000	0.9990	21	18	21	54	44	54	344317936	290510852	344317936	10K(229.1629), 11K(229.1629), 12K(229.1629), 14M(15.9949), 15K(229.1629), 1C(57.0214), 20K(229.1629), 22K(229.1629), 23K(229.1629), 5C(57.0214), 7C(57.0214), 8C(57.0214), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			13.313.425.337	11.769.224.613	16.687.577.295	13.052.010.653	16.428.777.227	10.890.976.538	13.981.135.601	14.352.438.921	14.610.297.338	19.241.680.842	21.680.005.442
sp|O95749|GGPPS_HUMAN	O95749	GGPPS_HUMAN	GGPS1	300	Homo sapiens	Geranylgeranyl pyrophosphate synthase	1:Experimental evidence at protein level	20.33	10.000	0.9990	6	5	6	11	10	11	175254774	167782498	175254774	10K(229.1629), 11K(229.1629), 2C(57.0214), 3C(57.0214), 7K(229.1629), N-term(229.1692)			5.260.196.865	6.711.344.648	7.180.162.158	7.946.647.764	8.233.952.881	5.552.857.158	7.977.322.002	5.768.748.096	6.334.133.887	8.891.673.457	8.830.139.141
sp|O95757|HS74L_HUMAN	O95757	HS74L_HUMAN	HSPA4L	839	Homo sapiens	Heat shock 70 kDa protein 4L	1:Experimental evidence at protein level	54.83	10.000	0.9990	39	36	36	88	75	75	682594960	382888712	682594960	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13C(57.0214), 14C(57.0214), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 25K(229.1629), 2M(15.9949), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			76.258.173.191	50.095.078.831	73.751.336.523	42.519.054.707	63.842.797.861	62.882.687.725	65.102.923.403	65.104.825.137	55.543.296.833	61.100.208.813	88.903.298.203
sp|O95758|PTBP3_HUMAN	O95758	PTBP3_HUMAN	PTBP3	552	Homo sapiens	Polypyrimidine tract-binding protein 3	1:Experimental evidence at protein level	28.62	10.000	0.9990	12	9	9	62	48	48	4081510336	694832736	4081510336	14K(229.1629), 17M(15.9949), 20K(229.1629), 27K(229.1629), 6C(57.0214), 7M(15.9949), N-term(229.1692), N-term(42.0106)			34.544.190.436	33.671.091.880	43.345.314.810	35.710.460.647	41.170.269.191	32.109.825.554	41.348.522.786	43.540.429.171	36.685.857.572	42.613.199.528	55.022.612.468
sp|O95759|TBCD8_HUMAN	O95759	TBCD8_HUMAN	TBC1D8	1140	Homo sapiens	TBC1 domain family member 8	1:Experimental evidence at protein level	6.67	10.000	0.9990	7	7	7	8	8	8	39040903	39040903	39040903	10K(229.1629), 13K(229.1629), 7K(229.1629), N-term(229.1692)			1.460.913.477	1.266.836.245	1.578.636.919	1.434.980.527	1.843.997.891	1.103.633.062	1.282.088.716	1.348.175.410	1.405.331.377	1.763.803.350	1.555.519.150
sp|O95777|LSM8_HUMAN	O95777	LSM8_HUMAN	LSM8	96	Homo sapiens	U6 snRNA-associated Sm-like protein LSm8	1:Experimental evidence at protein level	43.75	10.000	0.9990	4	4	4	16	16	16	610650096	610650096	610650096	7K(229.1629), N-term(229.1692)			14.750.695.015	11.690.891.199	15.138.532.622	12.824.131.743	12.902.928.159	12.323.529.780	14.672.307.100	13.937.291.968	12.860.881.448	15.053.305.913	20.292.949.985
sp|O95782|AP2A1_HUMAN	O95782	AP2A1_HUMAN	AP2A1	977	Homo sapiens	AP-2 complex subunit alpha-1	1:Experimental evidence at protein level	39.00	10.000	0.9990	33	22	33	74	58	74	615760832	578506816	615760832	11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 1K(229.1629), 21K(229.1629), 2C(57.0214), 2M(15.9949), 3C(57.0214), 4C(57.0214), 5M(15.9949), 6C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			52.672.534.258	41.372.644.517	53.689.205.854	42.926.133.469	56.712.512.827	42.344.245.269	48.211.878.271	51.058.959.536	52.122.033.188	61.384.589.912	78.774.985.454
sp|O95785|WIZ_HUMAN	O95785	WIZ_HUMAN	WIZ	1651	Homo sapiens	Protein Wiz	1:Experimental evidence at protein level	16.29	10.000	0.9990	21	21	21	37	37	37	136721240	136721240	136721240	10C(57.0214), 11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 16K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 22K(229.1629), 2K(229.1629), 4C(57.0214), 4K(229.1629), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			18.262.755.254	13.878.058.245	18.326.971.108	14.419.975.703	20.982.405.571	14.892.493.286	15.997.739.165	17.103.412.263	15.055.632.134	20.058.468.740	26.951.907.373
sp|O95786|RIGI_HUMAN	O95786	RIGI_HUMAN	RIGI	925	Homo sapiens	Antiviral innate immune response receptor RIG-I	1:Experimental evidence at protein level	25.62	10.000	0.9990	22	22	22	33	33	33	112417040	112417040	112417040	10C(57.0214), 10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13K(229.1629), 15K(229.1629), 18K(229.1629), 1C(57.0214), 2C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			13.361.014.160	8.917.784.121	12.003.731.294	9.815.880.898	17.338.394.023	8.858.857.974	10.665.755.825	11.452.578.647	9.174.548.525	17.942.921.934	12.808.171.445
sp|O95789|ZMYM6_HUMAN	O95789	ZMYM6_HUMAN	ZMYM6	1325	Homo sapiens	Zinc finger MYM-type protein 6	1:Experimental evidence at protein level	2.34	10.000	0.9990	3	2	2	5	3	3	8512988	8512988	8512988	14K(229.1629), 3C(57.0214), 7C(57.0214), 9K(229.1629), N-term(229.1692)			2.620.413.887	1.763.007.793	2.515.118.906	1.778.302.656	3.325.269.805	1.826.018.262	1.657.926.738	2.016.509.785	1.694.859.375	2.736.346.582	3.276.379.531
sp|O95793|STAU1_HUMAN	O95793	STAU1_HUMAN	STAU1	577	Homo sapiens	Double-stranded RNA-binding protein Staufen homolog 1	1:Experimental evidence at protein level	41.25	10.000	0.9990	20	18	18	36	32	32	136466516	126453152	136466516	11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 22K(229.1629), 2K(229.1629), 5C(57.0214), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			18.907.918.284	12.521.748.867	19.166.808.569	14.487.247.031	20.389.437.817	16.974.465.044	18.010.248.831	17.336.810.322	20.232.017.964	21.072.267.476	27.883.215.996
sp|O95801|TTC4_HUMAN	O95801	TTC4_HUMAN	TTC4	387	Homo sapiens	Tetratricopeptide repeat protein 4	1:Experimental evidence at protein level	41.34	10.000	0.9990	12	12	12	22	22	22	150267308	150267308	150267308	10K(229.1629), 11K(229.1629), 15C(57.0214), 16C(57.0214), 17K(229.1629), 18K(229.1629), 20K(229.1629), 2K(229.1629), 32K(229.1629), 4C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			17.122.238.228	8.255.695.497	13.344.878.468	8.196.863.091	14.566.176.755	13.665.820.505	10.338.487.629	10.518.934.438	8.679.560.007	13.511.092.344	17.444.688.708
sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	BAG2	211	Homo sapiens	BAG family molecular chaperone regulator 2	1:Experimental evidence at protein level	54.03	10.000	0.9990	13	13	13	38	38	38	792832112	792832112	792832112	10C(57.0214), 10K(229.1629), 14K(229.1629), 15K(229.1629), 16M(15.9949), 22K(229.1629), 4M(15.9949), 6M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1692)			68.589.542.412	33.044.559.724	43.830.878.032	33.988.797.751	52.036.274.019	53.070.857.295	34.768.977.407	42.749.850.732	33.284.962.451	55.916.434.341	51.720.213.396
sp|O95817|BAG3_HUMAN	O95817	BAG3_HUMAN	BAG3	575	Homo sapiens	BAG family molecular chaperone regulator 3	1:Experimental evidence at protein level	34.78	10.000	0.9990	15	15	15	27	27	27	125705284	125705284	125705284	10K(229.1629), 14K(229.1629), 15K(229.1629), 19K(229.1629), 27K(229.1629), 7K(229.1629), N-term(229.1692)			13.264.995.947	7.932.193.535	14.188.563.008	8.751.361.348	13.436.509.844	10.556.820.078	9.508.862.441	8.764.859.993	7.488.842.246	11.573.216.846	15.995.609.824
sp|O95819|M4K4_HUMAN	O95819	M4K4_HUMAN	MAP4K4	1239	Homo sapiens	Mitogen-activated protein kinase kinase kinase kinase 4	1:Experimental evidence at protein level	18.56	10.000	0.9990	23	11	21	37	16	33	112853086	74252615	112853086	11K(229.1629), 13K(229.1629), 16K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			7.141.062.544	6.230.223.000	9.857.772.119	8.297.679.575	9.961.167.485	6.892.953.203	7.651.415.823	8.906.282.479	7.483.143.285	10.786.753.081	11.357.175.115
sp|O95822|DCMC_HUMAN	O95822	DCMC_HUMAN	MLYCD	493	Homo sapiens	Malonyl-CoA decarboxylase, mitochondrial	1:Experimental evidence at protein level	28.19	10.000	0.9990	10	10	10	16	16	16	196729390	196729390	196729390	10K(229.1629), 13C(57.0214), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 9C(57.0214), N-term(229.1692)			3.010.822.207	3.316.604.688	4.100.363.730	3.235.263.242	3.588.778.555	2.764.019.253	3.652.744.312	3.865.972.769	4.134.564.097	4.727.070.664	5.370.150.713
sp|O95825|QORL1_HUMAN	O95825	QORL1_HUMAN	CRYZL1	349	Homo sapiens	Quinone oxidoreductase-like protein 1	1:Experimental evidence at protein level	28.65	10.000	0.9990	8	8	8	14	14	14	81427266	81427266	81427266	11K(229.1629), 12K(229.1629), 20K(229.1629), 24C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			6.161.818.809	5.513.543.301	7.027.007.959	6.050.086.367	8.821.066.768	6.018.930.684	6.430.955.435	5.637.961.230	5.940.010.781	7.201.898.203	9.632.686.973
sp|O95831|AIFM1_HUMAN	O95831	AIFM1_HUMAN	AIFM1	613	Homo sapiens	Apoptosis-inducing factor 1, mitochondrial	1:Experimental evidence at protein level	45.19	10.000	0.9990	26	26	26	72	72	72	412905088	412905088	412905088	11C(57.0214), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13K(229.1629), 13M(15.9949), 16K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 2M(15.9949), 30K(229.1629), 6M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			28.445.182.991	26.464.267.480	29.814.544.604	29.173.455.171	31.141.159.666	18.319.634.902	28.636.311.201	29.498.786.758	31.599.665.996	41.679.583.188	45.758.940.063
sp|O95834|EMAL2_HUMAN	O95834	EMAL2_HUMAN	EML2	649	Homo sapiens	Echinoderm microtubule-associated protein-like 2	1:Experimental evidence at protein level	36.36	10.000	0.9990	20	19	20	44	43	44	378192560	378192560	378192560	10K(229.1629), 12K(229.1629), 17M(15.9949), 1C(57.0214), 21K(229.1629), 22C(57.0214), 24K(229.1629), 25K(229.1629), 6C(57.0214), 7K(229.1629), 8C(57.0214), N-term(229.1692), N-term(42.0106)			41.000.447.456	35.881.399.658	50.554.816.250	40.056.905.283	47.012.184.214	31.162.755.112	41.410.941.846	46.647.090.015	44.742.264.424	56.024.216.064	65.090.679.053
sp|O95835|LATS1_HUMAN	O95835	LATS1_HUMAN	LATS1	1130	Homo sapiens	Serine/threonine-protein kinase LATS1	1:Experimental evidence at protein level	5.93	10.000	0.9990	5	3	5	6	4	6	13488044	9494102	13488044	17K(229.1629), 20K(229.1629), 7C(57.0214), 7K(229.1629), N-term(229.1692)			1.930.871.118	975.865.151	1.280.896.360	1.092.133.176	1.745.154.087	1.485.256.165	1.086.055.874	949.690.059	1.115.299.951	1.316.674.028	1.592.170.620
