Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	Homo sapiens	Small nuclear ribonucleoprotein Sm D1	1:Experimental evidence at protein level	49.58	10.000	0.9990	5	5	5	18	18	18	979504020	979504020	979504020	16M(15.9949), 20K(229.1629), 21K(229.1629), N-term(229.1692)			4.999.639.287	5.615.544.213	6.459.392.471	6.078.566.790	5.805.469.720	6.232.308.552	6.596.529.463	5.098.510.864	6.001.674.534	4.119.638.772	9.691.810.618
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens	Small nuclear ribonucleoprotein Sm D2	1:Experimental evidence at protein level	72.03	10.000	0.9990	13	13	13	58	58	58	3166814912	3166814912	3166814912	10K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 18K(229.1629), 20K(229.1629), 29K(229.1629), 2C(57.0214), 2M(15.9949), 3M(15.9949), 4M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9C(57.0214), N-term(229.1692)			32.832.196.328	38.647.296.528	32.607.525.781	47.975.358.135	37.107.650.527	42.206.507.979	50.239.325.801	31.747.006.848	45.822.061.445	28.455.452.515	59.233.851.680
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens	Small nuclear ribonucleoprotein Sm D3	1:Experimental evidence at protein level	52.38	10.000	0.9990	5	5	5	19	19	19	782663680	782663680	782663680	10C(57.0214), 12C(57.0214), 12M(15.9949), 13K(229.1629), 7M(15.9949), 8M(15.9949), 9K(229.1629), N-term(229.1692)			13.349.093.616	15.848.123.809	11.985.231.075	19.372.718.450	18.254.935.618	16.382.923.298	20.932.539.888	13.761.017.139	19.180.038.147	10.945.784.612	24.337.300.737
sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	Homo sapiens	Thymosin beta-4	1:Experimental evidence at protein level	56.82	10.000	0.9990	3	1	3	17	7	17	11652790144	1277793749	11652790144	11K(229.1629), 1K(229.1629), 3K(229.1629), 6M(15.9949), 7K(229.1629), N-term(229.1692), N-term(42.0106)			143.046.027.571	402.939.286.548	138.877.781.001	356.797.932.095	153.446.513.081	287.362.498.228	255.534.032.261	132.379.749.973	398.181.249.507	89.011.595.144	428.998.178.354
sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	Homo sapiens	ADP-ribosylation factor 6	1:Experimental evidence at protein level	45.71	10.000	0.9990	7	7	7	10	10	10	141991836	141991836	141991836	11K(229.1629), 15C(57.0214), 15K(229.1629), 21K(229.1629), 7K(229.1629), 7M(15.9949), 8K(229.1629), N-term(229.1692)			4.085.154.797	5.736.309.689	2.829.833.269	6.615.024.041	4.405.567.253	5.600.858.354	6.755.165.410	3.182.004.352	6.124.851.216	2.339.004.882	6.884.136.582
sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	Homo sapiens	26S proteasome regulatory subunit 10B	1:Experimental evidence at protein level	70.95	10.000	0.9990	27	27	27	102	102	102	862051840	862051840	862051840	11K(229.1629), 11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14C(57.0214), 14K(229.1629), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 5C(57.0214), 7K(229.1629), 8C(57.0214), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1692)			49.272.515.869	53.168.497.258	42.349.786.173	59.313.381.613	51.169.539.912	54.054.969.628	64.597.673.762	48.033.687.351	60.368.094.366	40.478.479.840	79.950.958.966
sp|P62380|TBPL1_HUMAN	P62380	TBPL1_HUMAN	TBPL1	186	Homo sapiens	TATA box-binding protein-like 1	1:Experimental evidence at protein level	10.22	10.000	0.9990	1	1	1	1	1	1	1739374	1739374	1739374	17C(57.0214), N-term(229.1692)			500.661.484	601.773.633	428.513.438	852.746.797	740.796.016	738.382.109	704.866.172	376.238.594	850.916.953	287.534.941	716.954.609
sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	Homo sapiens	Large ribosomal subunit protein eL8	1:Experimental evidence at protein level	54.89	10.000	0.9990	15	15	15	73	73	73	4056472448	4056472448	4056472448	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 1K(229.1629), 22K(229.1629), 23C(57.0214), 25K(229.1629), 2C(57.0214), 4K(229.1629), 6C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			87.302.895.940	90.724.435.361	60.842.441.913	99.637.236.340	73.133.296.431	85.521.807.339	109.904.373.928	56.485.642.858	105.426.899.263	47.667.206.846	128.696.686.348
sp|P62487|RPB7_HUMAN	P62487	RPB7_HUMAN	POLR2G	172	Homo sapiens	DNA-directed RNA polymerase II subunit RPB7	1:Experimental evidence at protein level	42.44	10.000	0.9990	6	6	6	11	11	11	198194444	198194444	198194444	11K(229.1629), 12C(57.0214), 17K(229.1629), 21K(229.1629), 8K(229.1629), N-term(229.1692)			7.941.713.354	7.715.596.199	4.642.383.682	9.203.398.152	6.553.527.693	7.542.297.363	10.204.825.337	5.345.216.182	9.233.160.034	4.622.991.522	10.053.753.340
sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	Homo sapiens	Eukaryotic peptide chain release factor subunit 1	1:Experimental evidence at protein level	44.16	10.000	0.9990	17	17	17	65	65	65	411287608	411287608	411287608	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 19C(57.0214), 19K(229.1629), 1K(229.1629), 22K(229.1629), 23K(229.1629), 6M(15.9949), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			18.494.090.276	20.330.191.731	19.051.695.797	22.580.451.755	21.814.241.023	20.933.718.542	26.181.840.081	19.955.667.581	22.264.291.837	16.675.537.457	33.689.745.625
sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	Homo sapiens	CCHC-type zinc finger nucleic acid binding protein	1:Experimental evidence at protein level	64.97	10.000	0.9990	14	14	14	43	43	43	2316319424	2316319424	2316319424	10C(57.0214), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13C(57.0214), 13K(229.1629), 1C(57.0214), 1C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214), 9K(229.1629), N-term(229.1692)			33.028.074.928	32.871.376.033	30.799.741.235	31.308.732.473	33.994.119.032	34.487.240.417	47.831.894.802	23.292.458.928	41.273.155.947	19.216.625.785	54.293.865.703
sp|P62699|YPEL5_HUMAN	P62699	YPEL5_HUMAN	YPEL5	121	Homo sapiens	Protein yippee-like 5	1:Experimental evidence at protein level	35.54	10.000	0.9990	4	4	4	9	9	9	86789616	86789616	86789616	4C(57.0214), 7C(57.0214), N-term(229.1692)			3.311.663.860	4.192.805.977	3.048.508.267	4.941.145.527	3.743.965.850	4.771.420.537	4.269.126.729	4.374.849.751	4.514.038.496	4.067.525.569	6.126.913.027
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens	Small ribosomal subunit protein eS4, X isoform	1:Experimental evidence at protein level	60.46	10.000	0.9990	23	10	23	227	155	227	8542352896	6725780864	8542352896	10K(229.1629), 10M(15.9949), 11K(229.1629), 12M(15.9949), 13K(229.1629), 15K(229.1629), 17K(229.1629), 19K(229.1629), 2C(57.0214), 3K(229.1629), 7C(57.0214), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			102.481.760.345	118.918.703.020	92.200.893.984	131.592.772.563	118.497.259.080	118.588.512.178	147.031.774.646	97.850.063.043	132.533.057.864	87.069.474.503	168.370.604.780
sp|P62714|PP2AB_HUMAN	P62714	PP2AB_HUMAN	PPP2CB	309	Homo sapiens	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	1:Experimental evidence at protein level	67.31	10.000	0.9990	17	2	2	69	8	8	897020896	121042800	897020896	12C(57.0214), 13K(229.1629), N-term(229.1692)			18.197.445.579	22.455.111.731	13.987.715.226	24.972.977.611	21.501.993.303	22.904.624.421	29.062.947.134	19.626.008.784	24.560.727.295	17.794.712.061	31.991.897.612
sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	Homo sapiens	Large ribosomal subunit protein uL23	1:Experimental evidence at protein level	48.72	10.000	0.9990	11	11	11	31	31	31	5619904768	5619904768	5619904768	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 1K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			28.098.162.070	30.181.500.811	26.457.623.677	31.653.615.879	29.601.471.353	29.215.705.186	36.693.513.955	23.909.792.573	32.525.415.439	18.953.819.985	49.084.051.484
sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	Homo sapiens	Small ribosomal subunit protein eS6	1:Experimental evidence at protein level	46.59	10.000	0.9990	13	12	13	79	77	79	6278732032	6278732032	6278732032	10C(57.0214), 11K(229.1629), 12K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 1M(15.9949), 2C(57.0214), 2M(15.9949), 4C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			45.425.518.531	49.205.920.887	45.463.940.248	56.551.702.229	48.031.395.564	49.306.971.921	64.670.754.337	42.313.156.534	53.283.965.479	38.559.016.665	77.814.379.712
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C1	103	Homo sapiens	Histone H4	1:Experimental evidence at protein level	67.96	10.000	0.9990	15	15	15	448	448	448	23024287232	23024287232	23024287232	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 18K(229.1629), 1K(229.1629), 5M(15.9949), 8K(229.1629), N-term(229.1692)			587.523.672.137	623.594.763.554	507.015.181.729	658.588.294.566	470.248.447.582	724.120.545.811	647.627.228.937	609.880.408.833	703.843.422.999	463.074.698.810	869.284.213.398
sp|P62820|RAB1A_HUMAN	P62820	RAB1A_HUMAN	RAB1A	205	Homo sapiens	Ras-related protein Rab-1A	1:Experimental evidence at protein level	84.39	10.000	0.9990	17	8	8	50	26	26	1763170848	614838096	1763170848	10M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 1M(15.9949), 21K(229.1629), 2M(15.9949), 3M(15.9949), 6K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			56.429.533.818	66.913.936.743	35.674.586.558	73.636.051.704	62.109.069.292	68.133.151.162	72.950.165.898	47.085.177.734	66.799.530.176	37.178.105.813	91.068.397.178
sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	Homo sapiens	GTP-binding nuclear protein Ran	1:Experimental evidence at protein level	64.35	10.000	0.9990	18	18	18	176	176	176	8014184192	8014184192	8014184192	10C(57.0214), 10K(229.1629), 11K(229.1629), 13K(229.1629), 14C(57.0214), 17K(229.1629), 1K(229.1629), 22K(229.1629), 23K(229.1629), 2C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			151.565.300.898	158.642.496.978	132.781.598.528	188.245.588.475	167.282.297.224	169.853.352.630	213.912.968.350	145.466.945.712	181.397.479.763	120.451.071.973	235.595.326.219
sp|P62829|RL23_HUMAN	P62829	RL23_HUMAN	RPL23	140	Homo sapiens	Large ribosomal subunit protein uL14	1:Experimental evidence at protein level	85.71	10.000	0.9990	14	14	14	105	105	105	5264695680	5264695680	5264695680	10K(229.1629), 11M(15.9949), 12M(15.9949), 13C(57.0214), 14M(15.9949), 15K(229.1629), 16K(229.1629), 16M(15.9949), 18K(229.1629), 1K(229.1629), 20K(229.1629), 21M(15.9949), 22K(229.1629), 2C(57.0214), 2K(229.1629), 3K(229.1629), 7K(229.1629), 8K(229.1629), 9M(15.9949), N-term(229.1692)			68.788.336.409	80.066.306.335	57.427.377.761	91.653.950.305	76.980.534.609	79.484.276.477	96.557.189.863	60.643.536.772	96.038.809.238	54.549.111.101	118.892.306.421
sp|P62834|RAP1A_HUMAN	P62834	RAP1A_HUMAN	RAP1A	184	Homo sapiens	Ras-related protein Rap-1A	1:Experimental evidence at protein level	63.59	10.000	0.9990	10	2	2	33	8	8	2932972544	201125292	2932972544	13K(229.1629), 3C(57.0214), 5C(57.0214), 7M(15.9949), N-term(229.1692)			21.984.663.301	35.072.265.640	28.510.274.492	35.901.334.303	34.670.365.215	38.001.696.108	35.723.108.152	28.170.443.652	34.094.405.674	30.370.866.494	43.057.061.444
sp|P62837|UB2D2_HUMAN	P62837	UB2D2_HUMAN	UBE2D2	147	Homo sapiens	Ubiquitin-conjugating enzyme E2 D2	1:Experimental evidence at protein level	24.49	10.000	0.9990	3	1	3	7	1	7	533957188	178075232	533957188	11K(229.1629), 13C(57.0214), N-term(229.1692)			2.778.120.723	3.162.511.838	2.553.003.892	3.290.565.732	3.869.902.222	3.383.540.386	4.517.573.760	3.396.196.079	3.129.467.144	3.472.709.272	4.066.565.386
sp|P62841|RS15_HUMAN	P62841	RS15_HUMAN	RPS15	145	Homo sapiens	Small ribosomal subunit protein uS19	1:Experimental evidence at protein level	71.72	10.000	0.9990	9	9	9	76	76	76	1482599888	1482599888	1482599888	10M(15.9949), 11M(15.9949), 12K(229.1629), 12M(15.9949), 16M(15.9949), 19K(229.1629), 23K(229.1629), 24K(229.1629), 27K(229.1629), 2M(15.9949), 5M(15.9949), 6K(229.1629), 6M(15.9949), 7K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1692), N-term(42.0106)			51.219.077.982	51.579.384.417	35.223.820.275	61.435.563.639	46.311.353.052	51.603.547.144	70.768.516.223	33.937.485.106	67.193.254.913	29.274.314.635	79.685.728.088
sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	Homo sapiens	Small ribosomal subunit protein eS24	1:Experimental evidence at protein level	36.84	10.000	0.9990	6	6	6	45	45	45	5247182400	5247182400	5247182400	11K(229.1629), 15K(229.1629), 2M(15.9949), 6M(15.9949), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			42.894.531.858	44.898.004.360	35.850.637.488	54.272.592.168	40.140.137.163	44.410.165.034	63.565.986.914	37.057.365.776	49.590.151.982	29.990.143.262	65.304.231.333
sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	Homo sapiens	Small ribosomal subunit protein eS25	1:Experimental evidence at protein level	49.60	10.000	0.9990	8	8	8	52	52	52	3816043904	3816043904	3816043904	2K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			32.697.368.301	41.658.300.288	34.641.245.139	46.940.439.219	37.615.707.969	39.274.560.994	47.892.558.438	39.275.497.139	44.439.806.465	36.752.143.391	63.244.818.628
sp|P62854|RS26_HUMAN	P62854	RS26_HUMAN	RPS26	115	Homo sapiens	Small ribosomal subunit protein eS26	1:Experimental evidence at protein level	61.74	10.000	0.9990	8	2	8	51	8	51	3524036800	152168945	3524036800	11C(57.0214), 12K(229.1629), 13K(229.1629), 24K(229.1629), 4C(57.0214), 7C(57.0214), 8C(57.0214), N-term(229.1692)			53.919.310.222	56.266.310.989	37.197.854.983	63.612.680.927	56.360.574.022	61.164.757.612	76.237.035.831	42.749.648.773	64.335.681.224	40.653.632.484	82.603.867.579
sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	Homo sapiens	Small ribosomal subunit protein eS28	1:Experimental evidence at protein level	56.52	10.000	0.9990	7	7	7	53	53	53	1503747040	1503747040	1503747040	15M(15.9949), 4M(15.9949), 7C(57.0214), N-term(229.1692)			14.343.170.762	18.838.331.721	15.457.683.251	24.341.333.833	26.670.963.710	23.328.459.939	31.211.219.762	22.357.660.413	21.741.406.147	25.351.460.975	32.576.400.000
sp|P62861|RS30_HUMAN	P62861	RS30_HUMAN	FAU	133	Homo sapiens	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein	1:Experimental evidence at protein level	19.55	10.000	0.9990	6	6	6	19	19	19	2616292160	2616292160	2616292160	10K(229.1629), 11K(229.1629), 12K(229.1629), 7K(229.1629), N-term(229.1692)			40.097.703.242	41.499.197.969	39.812.640.215	44.296.605.859	38.464.145.469	42.066.172.930	54.341.598.047	31.197.855.156	47.461.456.055	33.819.659.297	64.004.036.484
sp|P62873|GBB1_HUMAN	P62873	GBB1_HUMAN	GNB1	340	Homo sapiens	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1:Experimental evidence at protein level	75.29	10.000	0.9990	19	8	19	138	53	138	1412683968	1251762080	1412683968	10K(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 13C(57.0214), 14C(57.0214), 15C(57.0214), 18C(57.0214), 18K(229.1629), 21M(15.9949), 23K(229.1629), 24K(229.1629), 25C(57.0214), 2C(57.0214), 31C(57.0214), 31K(229.1629), 33K(229.1629), 3C(57.0214), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692)			33.026.648.838	49.238.956.042	34.711.496.089	46.987.519.274	45.796.142.097	54.128.745.801	43.676.417.297	43.486.843.553	52.577.052.513	40.008.572.303	66.667.079.528
sp|P62875|RPAB5_HUMAN	P62875	RPAB5_HUMAN	POLR2L	67	Homo sapiens	DNA-directed RNA polymerases I, II, and III subunit RPABC5	1:Experimental evidence at protein level	29.85	10.000	0.9990	2	2	2	4	4	4	199446726	199446726	199446726	11K(229.1629), 9K(229.1629), N-term(229.1692)			2.839.563.457	2.713.099.102	2.007.444.111	2.973.680.684	2.670.330.996	2.704.835.918	3.455.744.766	2.061.622.881	3.446.815.469	1.291.719.053	3.724.674.043
sp|P62877|RBX1_HUMAN	P62877	RBX1_HUMAN	RBX1	108	Homo sapiens	E3 ubiquitin-protein ligase RBX1	1:Experimental evidence at protein level	30.56	10.000	0.9990	4	4	4	17	17	17	468663152	468663152	468663152	14K(229.1629), 18K(229.1629), 19K(229.1629), 3C(57.0214), 4M(15.9949), N-term(229.1692), N-term(42.0106)			8.125.615.725	9.641.666.255	5.109.548.687	11.710.092.251	7.448.539.971	9.507.027.886	12.839.345.908	6.246.924.974	10.930.947.822	4.870.767.322	12.361.660.195
sp|P62879|GBB2_HUMAN	P62879	GBB2_HUMAN	GNB2	340	Homo sapiens	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	1:Experimental evidence at protein level	53.82	10.000	0.9990	18	5	8	105	12	24	1189713600	519170952	1189713600	11C(57.0214), 12C(57.0214), 12K(229.1629), 18K(229.1629), 2C(57.0214), 7C(57.0214), 9C(57.0214), N-term(229.1692), N-term(42.0106)			41.638.130.054	50.784.210.514	46.524.688.188	63.292.953.120	48.255.977.834	56.061.932.209	65.777.880.702	46.836.815.737	57.288.522.528	52.109.684.514	87.647.808.375
sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	RPL30	115	Homo sapiens	Large ribosomal subunit protein eL30	1:Experimental evidence at protein level	68.70	10.000	0.9990	9	9	9	54	54	54	2088515392	2088515392	2088515392	11K(229.1629), 12K(229.1629), 13K(229.1629), 17C(57.0214), 19K(229.1629), 1K(229.1629), 2C(57.0214), 2M(15.9949), 5C(57.0214), 8C(57.0214), 8M(15.9949), 9K(229.1629), N-term(229.1692)			27.132.539.756	31.295.692.808	22.070.722.505	36.589.012.209	30.202.316.510	31.054.897.036	39.680.799.939	24.956.407.324	39.479.862.449	22.749.974.937	46.415.403.271
sp|P62899|RL31_HUMAN	P62899	RL31_HUMAN	RPL31	125	Homo sapiens	Large ribosomal subunit protein eL31	1:Experimental evidence at protein level	46.40	10.000	0.9990	10	10	10	23	23	23	6971331424	6971331424	6971331424	10K(229.1629), 11K(229.1629), 14K(229.1629), 17K(229.1629), 1K(229.1629), 2M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			26.955.170.221	29.250.385.923	17.644.478.971	32.353.947.483	21.961.512.244	28.796.743.625	36.450.740.217	19.583.514.443	34.604.529.341	16.235.907.203	38.026.208.286
sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	Homo sapiens	Large ribosomal subunit protein uL1	1:Experimental evidence at protein level	58.06	10.000	0.9990	17	17	17	100	100	100	4498253696	4498253696	4498253696	11M(15.9949), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 14M(15.9949), 16K(229.1629), 17K(229.1629), 1K(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4C(57.0214), 5K(229.1629), 7M(15.9949), 8K(229.1629), N-term(229.1692)			66.810.967.003	70.805.915.173	48.625.237.565	82.704.815.551	64.013.328.009	72.906.961.113	97.709.283.749	50.780.699.382	83.114.834.302	45.516.967.154	106.902.082.860
sp|P62910|RL32_HUMAN	P62910	RL32_HUMAN	RPL32	135	Homo sapiens	Large ribosomal subunit protein eL32	1:Experimental evidence at protein level	74.07	10.000	0.9990	14	14	14	79	79	79	9968300544	9968300544	9968300544	10K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 2M(15.9949), 3C(57.0214), 5M(15.9949), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			73.048.333.572	77.718.190.474	72.783.696.921	88.657.541.973	77.399.496.726	81.473.050.425	98.961.578.774	69.714.318.291	96.655.433.342	61.052.884.548	128.411.293.823
sp|P62913|RL11_HUMAN	P62913	RL11_HUMAN	RPL11	178	Homo sapiens	Large ribosomal subunit protein uL5	1:Experimental evidence at protein level	67.42	10.000	0.9990	14	14	14	159	159	159	5517067776	5517067776	5517067776	14K(229.1629), 22K(229.1629), 2C(57.0214), 3C(57.0214), 3K(229.1629), 4C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			83.390.826.216	101.657.565.007	80.949.611.231	113.980.786.741	104.438.058.207	110.522.106.577	132.619.129.106	105.349.623.539	93.512.526.291	100.196.336.877	126.930.110.807
sp|P62917|RL8_HUMAN	P62917	RL8_HUMAN	RPL8	257	Homo sapiens	Large ribosomal subunit protein uL2	1:Experimental evidence at protein level	67.32	10.000	0.9990	23	23	23	113	113	113	5092730496	5092730496	5092730496	10K(229.1629), 14K(229.1629), 14M(15.9949), 16K(229.1629), 17K(229.1629), 18C(57.0214), 18K(229.1629), 19C(57.0214), 1K(229.1629), 20K(229.1629), 21C(57.0214), 21K(229.1629), 22C(57.0214), 23C(57.0214), 26K(229.1629), 27K(229.1629), 2K(229.1629), 4M(15.9949), 8K(229.1629), N-term(229.1692)			66.352.243.264	68.213.537.136	58.565.785.494	77.576.401.940	73.439.103.538	73.431.580.948	89.227.065.441	60.911.634.003	84.317.738.088	58.094.181.996	110.133.880.378
sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A	1:Experimental evidence at protein level	78.79	10.000	0.9990	15	12	15	372	315	372	18133511680	15960006144	18133511680	12K(229.1629), 15K(229.1629), 1K(229.1629), 21K(229.1629), 24C(57.0214), 27K(229.1629), 3M(15.9949), 6C(57.0214), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			162.308.680.168	210.435.720.669	174.341.251.425	256.183.252.961	207.482.691.522	211.508.715.103	254.386.835.394	187.189.467.790	239.188.169.901	172.077.613.184	323.382.270.033
sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP1A	1:Experimental evidence at protein level	87.04	10.000	0.9990	10	6	10	71	63	71	1773264800	1773264800	1773264800	12M(15.9949), 14M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 32K(229.1629), 4C(57.0214), 4K(229.1629), 5C(57.0214), 7K(229.1629), 9M(15.9949), N-term(229.1692)			31.410.841.439	35.311.703.995	30.755.100.022	39.047.477.722	37.289.515.858	39.878.604.370	39.018.136.185	36.676.357.380	45.082.465.748	36.073.211.136	57.897.119.941
sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	Ubiquitin-40S ribosomal protein S27a	1:Experimental evidence at protein level	46.79	10.000	0.9990	8	4	8	83	17	83	2361307328	291433520	2361307328	13K(229.1629), 13M(15.9949), 15K(229.1629), 1C(57.0214), 1C(57.0214), 2C(57.0214), 3C(57.0214), 6C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 8C(57.0214), 9K(229.1629), N-term(229.1692)			74.550.551.289	72.154.610.986	50.479.077.896	85.623.977.451	68.168.180.601	78.741.771.641	100.023.667.021	61.644.883.486	80.476.570.566	51.420.627.725	108.108.925.791
sp|P62987|RL40_HUMAN	P62987	RL40_HUMAN	UBA52	128	Homo sapiens	Ubiquitin-ribosomal protein eL40 fusion protein	1:Experimental evidence at protein level	33.59	10.000	0.9990	5	1	1	74	8	8	2556985344	587944730	2556985344	10K(229.1629), 1C(57.0214), 1C(57.0214), N-term(229.1692)			70.708.458.525	69.052.520.645	47.014.887.708	82.091.433.506	62.570.564.453	72.559.797.920	97.190.247.939	54.789.285.361	78.303.574.053	47.275.406.328	99.491.156.826
sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	Homo sapiens	Growth factor receptor-bound protein 2	1:Experimental evidence at protein level	72.35	10.000	0.9990	15	15	15	51	51	51	2455748416	2455748416	2455748416	10K(229.1629), 12K(229.1629), 14K(229.1629), 16K(229.1629), 17K(229.1629), 2K(229.1629), 3C(57.0214), 4M(15.9949), 6C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			43.998.549.507	58.377.198.970	44.616.374.128	67.618.020.198	55.872.419.985	64.716.434.170	68.789.805.840	45.713.827.759	71.941.714.233	45.798.811.562	97.418.362.451
sp|P62995|TRA2B_HUMAN	P62995	TRA2B_HUMAN	TRA2B	288	Homo sapiens	Transformer-2 protein homolog beta	1:Experimental evidence at protein level	57.29	10.000	0.9990	22	20	22	80	59	80	1425289024	1251694048	1425289024	11M(15.9949), 14K(229.1629), 29K(229.1629), 4M(15.9949), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			26.608.655.261	30.626.976.069	19.768.290.138	32.650.041.383	29.071.971.541	32.921.367.456	38.455.423.500	29.528.485.872	34.167.231.431	23.935.508.334	40.315.344.755
